Vertices, Edges, vCount, eCount, pqCount, ElogV, operations,,,Vertices, operations,, ElogV, operations
50,35,15,14,17,136.9208052,85,,,50,85,,136.9208052,85
10,50,11,50,22,115.1292546,60,,,10,60,,115.1292546,60
20,50,18,42,35,149.7866137,70,,,20,70,,149.7866137,70
30,50,25,42,65,170.0598691,80,,,30,80,,170.0598691,80
40,50,13,12,8,184.4439727,90,,,40,90,,184.4439727,90
50,50,5,3,2,195.6011503,100,,,50,100,,195.6011503,100
10,65,11,65,27,149.668031,75,,,10,75,,149.668031,75
20,65,21,65,55,194.7225978,85,,,20,85,,194.7225978,85
30,65,27,58,68,221.0778298,95,,,30,95,,221.0778298,95
40,65,8,8,8,239.7771645,105,,,40,105,,239.7771645,105
10,20,6,10,6,46.05170186,30,,,10,30,,46.05170186,30
50,65,25,34,27,254.2814954,115,,,50,115,,254.2814954,115
10,80,11,80,32,184.2068074,90,,,10,90,,184.2068074,90
20,80,20,78,58,239.6585819,100,,,20,100,,239.6585819,100
30,80,29,77,73,272.0957905,110,,,30,110,,272.0957905,110
40,80,36,67,87,295.1103563,120,,,40,120,,295.1103563,120
50,80,27,40,43,312.9618404,130,,,50,130,,312.9618404,130
20,20,15,19,17,59.91464547,40,,,20,40,,59.91464547,40
30,20,3,1,1,68.02394763,50,,,30,50,,68.02394763,50
40,20,4,2,1,73.77758908,60,,,40,60,,73.77758908,60
50,20,4,2,1,78.24046011,70,,,50,70,,78.24046011,70
10,35,11,35,32,80.59047825,45,,,10,45,,80.59047825,45
20,35,16,30,14,104.8506296,55,,,20,55,,104.8506296,55
30,35,3,1,1,119.0419084,65,,,30,65,,119.0419084,65
40,35,6,6,4,129.1107809,75,,,40,75,,129.1107809,75
50,35,9,7,9,136.9208052,85,,,50,85,,136.9208052,85
10,50,11,50,25,115.1292546,60,,,10,60,,115.1292546,60
20,50,19,47,45,149.7866137,70,,,20,70,,149.7866137,70
30,50,27,46,48,170.0598691,80,,,30,80,,170.0598691,80
40,50,6,4,4,184.4439727,90,,,40,90,,184.4439727,90
50,50,23,25,33,195.6011503,100,,,50,100,,195.6011503,100
10,65,11,65,31,149.668031,75,,,10,75,,149.668031,75
20,65,21,65,51,194.7225978,85,,,20,85,,194.7225978,85
30,65,27,62,75,221.0778298,95,,,30,95,,221.0778298,95
40,65,27,46,48,239.7771645,105,,,40,105,,239.7771645,105
10,20,11,20,13,46.05170186,30,,,10,30,,46.05170186,30
50,65,15,16,19,254.2814954,115,,,50,115,,254.2814954,115
10,80,11,80,31,184.2068074,90,,,10,90,,184.2068074,90
20,80,20,75,45,239.6585819,100,,,20,100,,239.6585819,100
30,80,31,80,66,272.0957905,110,,,30,110,,272.0957905,110
40,80,34,69,78,295.1103563,120,,,40,120,,295.1103563,120
50,80,36,56,59,312.9618404,130,,,50,130,,312.9618404,130
20,20,18,19,10,59.91464547,40,,,20,40,,59.91464547,40
30,20,5,3,2,68.02394763,50,,,30,50,,68.02394763,50
40,20,9,7,8,73.77758908,60,,,40,60,,73.77758908,60
50,20,3,1,1,78.24046011,70,,,50,70,,78.24046011,70
10,35,11,35,26,80.59047825,45,,,10,45,,80.59047825,45
20,35,19,33,37,104.8506296,55,,,20,55,,104.8506296,55
30,35,17,24,25,119.0419084,65,,,30,65,,119.0419084,65
40,35,9,8,3,129.1107809,75,,,40,75,,129.1107809,75
50,35,4,2,1,136.9208052,85,,,50,85,,136.9208052,85
10,50,11,50,26,115.1292546,60,,,10,60,,115.1292546,60
20,50,16,39,20,149.7866137,70,,,20,70,,149.7866137,70
30,50,21,34,31,170.0598691,80,,,30,80,,170.0598691,80
40,50,3,1,1,184.4439727,90,,,40,90,,184.4439727,90
50,50,13,12,18,195.6011503,100,,,50,100,,195.6011503,100
10,65,11,65,29,149.668031,75,,,10,75,,149.668031,75
20,65,20,61,41,194.7225978,85,,,20,85,,194.7225978,85
30,65,21,41,39,221.0778298,95,,,30,95,,221.0778298,95
40,65,15,18,9,239.7771645,105,,,40,105,,239.7771645,105
10,20,11,20,12,46.05170186,30,,,10,30,,46.05170186,30
50,65,10,8,5,254.2814954,115,,,50,115,,254.2814954,115
10,80,11,80,38,184.2068074,90,,,10,90,,184.2068074,90
20,80,21,80,55,239.6585819,100,,,20,100,,239.6585819,100
30,80,27,67,52,272.0957905,110,,,30,110,,272.0957905,110
40,80,32,59,52,295.1103563,120,,,40,120,,295.1103563,120
50,80,37,53,92,312.9618404,130,,,50,130,,312.9618404,130
20,20,13,14,16,59.91464547,40,,,20,40,,59.91464547,40
30,20,6,4,3,68.02394763,50,,,30,50,,68.02394763,50
40,20,3,1,1,73.77758908,60,,,40,60,,73.77758908,60
50,20,6,4,2,78.24046011,70,,,50,70,,78.24046011,70
10,35,11,35,25,80.59047825,45,,,10,45,,80.59047825,45
20,35,19,30,32,104.8506296,55,,,20,55,,104.8506296,55
30,35,3,1,1,119.0419084,65,,,30,65,,119.0419084,65
40,35,5,4,3,129.1107809,75,,,40,75,,129.1107809,75
50,35,7,5,4,136.9208052,85,,,50,85,,136.9208052,85
10,50,11,50,36,115.1292546,60,,,10,60,,115.1292546,60
20,50,18,38,35,149.7866137,70,,,20,70,,149.7866137,70
30,50,23,36,31,170.0598691,80,,,30,80,,170.0598691,80
40,50,8,8,8,184.4439727,90,,,40,90,,184.4439727,90
50,50,16,14,8,195.6011503,100,,,50,100,,195.6011503,100
10,65,11,65,34,149.668031,75,,,10,75,,149.668031,75
20,65,20,61,55,194.7225978,85,,,20,85,,194.7225978,85
30,65,29,64,52,221.0778298,95,,,30,95,,221.0778298,95
40,65,24,42,33,239.7771645,105,,,40,105,,239.7771645,105
10,20,9,15,13,46.05170186,30,,,10,30,,46.05170186,30
50,65,3,1,1,254.2814954,115,,,50,115,,254.2814954,115
10,80,11,80,47,184.2068074,90,,,10,90,,184.2068074,90
20,80,21,80,74,239.6585819,100,,,20,100,,239.6585819,100
30,80,29,73,71,272.0957905,110,,,30,110,,272.0957905,110
40,80,37,73,64,295.1103563,120,,,40,120,,295.1103563,120
50,80,37,62,68,312.9618404,130,,,50,130,,312.9618404,130
20,20,5,4,3,59.91464547,40,,,20,40,,59.91464547,40
30,20,3,1,1,68.02394763,50,,,30,50,,68.02394763,50
40,20,6,4,4,73.77758908,60,,,40,60,,73.77758908,60
50,20,3,1,1,78.24046011,70,,,50,70,,78.24046011,70
10,35,11,35,16,80.59047825,45,,,10,45,,80.59047825,45
20,35,4,3,2,104.8506296,55,,,20,55,,104.8506296,55
30,35,13,15,10,119.0419084,65,,,30,65,,119.0419084,65
40,35,3,1,1,129.1107809,75,,,40,75,,129.1107809,75
50,35,9,7,8,136.9208052,85,,,50,85,,136.9208052,85
10,50,11,50,30,115.1292546,60,,,10,60,,115.1292546,60
20,50,19,44,41,149.7866137,70,,,20,70,,149.7866137,70
30,50,17,20,23,170.0598691,80,,,30,80,,170.0598691,80
40,50,5,3,1,184.4439727,90,,,40,90,,184.4439727,90
50,50,8,6,3,195.6011503,100,,,50,100,,195.6011503,100
10,65,11,65,41,149.668031,75,,,10,75,,149.668031,75
20,65,20,64,52,194.7225978,85,,,20,85,,194.7225978,85
30,65,27,56,56,221.0778298,95,,,30,95,,221.0778298,95
40,65,27,40,48,239.7771645,105,,,40,105,,239.7771645,105
10,20,10,19,10,46.05170186,30,,,10,30,,46.05170186,30
50,65,21,22,19,254.2814954,115,,,50,115,,254.2814954,115
10,80,11,80,39,184.2068074,90,,,10,90,,184.2068074,90
20,80,20,79,66,239.6585819,100,,,20,100,,239.6585819,100
30,80,3,1,1,272.0957905,110,,,30,110,,272.0957905,110
40,80,36,71,90,295.1103563,120,,,40,120,,295.1103563,120
50,80,19,25,12,312.9618404,130,,,50,130,,312.9618404,130
20,20,6,4,2,59.91464547,40,,,20,40,,59.91464547,40
30,20,4,2,2,68.02394763,50,,,30,50,,68.02394763,50
40,20,6,4,4,73.77758908,60,,,40,60,,73.77758908,60
50,20,10,9,8,78.24046011,70,,,50,70,,78.24046011,70
10,35,11,35,16,80.59047825,45,,,10,45,,80.59047825,45
20,35,13,16,11,104.8506296,55,,,20,55,,104.8506296,55
30,35,10,10,5,119.0419084,65,,,30,65,,119.0419084,65
40,35,6,4,4,129.1107809,75,,,40,75,,129.1107809,75
